0,1,2,3
-349620.4142166043,-497827.052897558,-461366.7342804168,-544870.2150462326
-719391.1798775276,-330141.7309248366,-483402.9281313786,-762673.7583970422
-495209.1318065031,-530724.9406930801,-396424.6951391459,-339490.3969035217
-682482.3297034154,-341638.3653045043,-391303.49145550706,-397752.3498151783
-505762.694726934,-465640.0672655797,-472667.91395729047,-412796.15698509914
-364112.7814231824,-437916.32677009876,-383344.9164014824,-401213.1602143598
-514746.1566683305,-445052.1615246344,-504393.9166989828,-655650.0659921076
-366541.1877021719,-314790.6514209986,-454233.38603465335,-637362.8667680754
-296490.727809212,-426069.02426482097,-440712.964085926,-543419.9384999416
-419435.3502762102,-509595.8537773502,-302086.942203434,-344711.9244610639
-569071.5944963612,-542996.610277093,-583227.8870941481,-475275.8486025932
-408490.7313301468,-349385.7757547884,-614107.6512464288,-414712.51194830774
-431434.5812191476,-318038.70773844904,-402426.4643500421,-581945.468124097
-507197.41025386157,-506884.18061027,-508941.3867898011,-445322.7735831812
-476292.7610915864,-808362.673535453,-525550.359634972,-305192.9347164751
-331383.9276413879,-328243.2949329793,-497879.2013927362,-527848.0201115081
-470690.27529568155,-412366.55666999926,-484393.7233721953,-510244.0539940466
-592003.1516610043,-354371.4946680946,-413953.7248153964,-527481.9534278279
-629667.4726672972,-391418.1661671553,-427118.78860420274,-510988.7843417052
-565834.3413954893,-482650.8184569274,-280893.5850645944,-455962.8333534215
-316720.6602948189,-408314.1285211586,-533830.8194936524,-337257.89315023646
-389217.23641900835,-516469.04883542727,-493076.1035686582,-573257.0166076485
-454531.4690686948,-416924.7857689057,-502653.19861932297,-800904.7440744425
-364543.9011607722,-607748.5193726898,-436567.3634710983,-572109.2435285153
-334717.40042188874,-485652.03016940673,-402656.3707137404,-479422.69289787667
-594291.0254387583,-490067.48728010507,-647219.6010761508,-434183.61038698466
-509546.8786802336,-335679.8336180096,-417042.63711695815,-382414.6364067984
-447293.9610607881,-456763.7587816341,-533358.3541496785,-384470.75665207586
-495924.55423959973,-414094.78647687315,-351854.66020088486,-438423.85752923484
-431918.992523714,-502186.1384360956,-423382.174660471,-462219.94942560093
