0,1,2,3
-390625.5949253054,-623814.2747687491,-344661.7505782765,-404460.96938006877
-346316.9905442186,-395173.48465528234,-431844.7251516542,-509256.25292074645
-456141.4933084026,-412649.5192966991,-434747.7537431691,-432378.3682886545
-617278.2876322966,-404277.6993150488,-528958.078943598,-357539.9704247141
-529494.8796039447,-609249.5691262357,-319986.17732989026,-387761.49579855526
-387124.85924309836,-376101.951431183,-298161.68760977563,-379000.2559652458
-425870.8770448933,-422243.0343555058,-645168.0626014415,-475313.12494011933
-343370.43925259885,-605619.9108149222,-399518.1639942967,-552432.9371226341
-413597.45131462364,-400857.21739649,-337682.82292454585,-394119.43313059164
-448499.8146059721,-471019.92246026685,-377909.9013817384,-354885.02219076775
-800127.5954061212,-396397.20653590135,-256162.66717891127,-666958.764526424
-373929.1288364478,-495640.14843287214,-602184.3969428245,-593416.7195756775
-429800.49030695664,-714419.584665352,-393911.73492147255,-550365.7882979385
-418944.1382932107,-515022.31374007236,-501468.9053762971,-467638.0144506867
-488842.73545130796,-428531.1590642139,-275364.75355077296,-450557.53777777165
-745368.1149323612,-624192.1449135472,-550456.2202022662,-587269.2059620742
-305718.531327995,-537976.3366924517,-599656.9264804833,-337202.6685581789
-378163.64379666187,-595336.7626260667,-494094.5940951705,-632251.9388986918
-584132.6753776281,-336449.10047588457,-566173.4522348326,-314306.1756283583
-341216.01787239005,-615333.1861169132,-521696.1048928258,-551441.7621104958
-218395.18197805676,-350074.9576745207,-373313.0098766187,-422011.59231575375
-216619.03578315448,-504145.22957281803,-365499.19219617016,-409893.5404825366
-349902.20040494576,-236409.47731880535,-309866.87248904485,-461831.88304117724
-568196.6571241022,-572361.5306178391,-695252.9762133487,-405427.92332285416
-917274.582182885,-409109.9864457708,-407771.231708436,-469826.130141607
-607965.2254237587,-481150.4306800282,-276740.7135436932,-321478.5845069087
-444875.23887483386,-684733.8165770113,-329952.00245187845,-438717.7606907705
-445164.7909095877,-1053495.7505886739,-522471.75601113675,-373566.0769802793
-484667.7240493414,-334106.3277536163,-495277.6184768459,-717121.5090490252
-432446.2237257154,-473796.7193497217,-484711.0325880796,-487115.77929547365
